epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1350.8,0.65894,0.39942,1.09495,0.84634,0.83473,0.89384,0.65131,0.93513,0.62948,1.52424,6.87222e-05,6.87222e-05,6.87222e-05
40,1380.89,0.6304,0.38317,1.06722,0.7942,0.81862,0.87638,0.66567,0.87505,0.6748,1.44971,6.72675e-05,6.72675e-05,6.72675e-05
41,1410.15,0.59757,0.38782,1.04659,0.94301,0.66667,0.86091,0.64915,0.85934,0.71026,1.44058,6.57963e-05,6.57963e-05,6.57963e-05
42,1440.23,0.63686,0.4134,1.0978,0.85043,0.72727,0.8357,0.6298,0.88156,0.76501,1.45744,6.43101e-05,6.43101e-05,6.43101e-05
43,1469.81,0.5784,0.36801,1.04556,0.88868,0.72579,0.8297,0.61774,0.89444,0.75822,1.44996,6.28101e-05,6.28101e-05,6.28101e-05
44,1530.03,0.60275,0.38582,1.07513,0.89848,0.66667,0.8348,0.66249,0.91015,0.71213,1.44665,6.12981e-05,6.12981e-05,6.12981e-05
45,1559.33,0.57973,0.36775,1.03073,0.72984,0.87879,0.86788,0.67809,0.8591,0.68661,1.3912,5.97754e-05,5.97754e-05,5.97754e-05
46,1587.66,0.5701,0.37016,1.03142,0.77918,0.87879,0.89958,0.66744,0.86582,0.64496,1.40864,5.82435e-05,5.82435e-05,5.82435e-05
47,1617.42,0.54578,0.34801,1.01778,0.84207,0.8081,0.87533,0.64911,0.87379,0.60651,1.41561,5.6704e-05,5.6704e-05,5.6704e-05
48,1647.34,0.55286,0.3627,1.01929,0.90627,0.75758,0.85769,0.6542,0.86238,0.66146,1.38968,5.51584e-05,5.51584e-05,5.51584e-05
49,1675.86,0.55718,0.35565,1.01991,0.89842,0.80433,0.86597,0.65903,0.93499,0.6166,1.43136,5.36081e-05,5.36081e-05,5.36081e-05
50,1699.74,0.59023,0.37089,1.06566,0.8737,0.83875,0.8847,0.69604,0.8744,0.56343,1.35542,5.20548e-05,5.20548e-05,5.20548e-05
51,1729.13,0.54868,0.36129,1.02531,0.8859,0.81818,0.90054,0.68944,0.92935,0.56101,1.4279,5.05e-05,5.05e-05,5.05e-05
52,1758.1,0.51705,0.33394,1.00966,0.89985,0.81687,0.89251,0.68115,0.95315,0.63256,1.46664,4.89452e-05,4.89452e-05,4.89452e-05
53,1788.88,0.51694,0.31907,0.99952,0.89577,0.81818,0.85153,0.63662,0.92481,0.64435,1.48726,4.73919e-05,4.73919e-05,4.73919e-05
54,1819.41,0.53444,0.34663,1.01429,0.84259,0.81121,0.85112,0.63667,0.91707,0.64042,1.48911,4.58416e-05,4.58416e-05,4.58416e-05
