epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,3384.55,0.87067,1.76953,0.66965,0.94484,0,0.50431,0.375,0.36732,0.25691,0.47508,0.34848,0.32071,0.16827,1.06745,2.11487,1.32805,1.16538,0,8.43851e-05,8.43851e-05,8.43851e-05
28,3510.08,0.8678,1.77012,0.6603,0.95094,0,0.48955,0.38636,0.35524,0.25232,0.44277,0.375,0.30483,0.16662,1.06066,2.12036,1.3545,1.14173,0,8.32349e-05,8.32349e-05,8.32349e-05
29,3634.3,0.86601,1.75227,0.65505,0.94792,0,0.41619,0.4053,0.35227,0.24802,0.53551,0.32576,0.33724,0.17356,1.11943,2.10205,1.37044,1.16013,0,8.20525e-05,8.20525e-05,8.20525e-05
30,3754.72,0.84945,1.74382,0.64431,0.94309,0,0.4529,0.39773,0.34235,0.24081,0.40685,0.37413,0.29389,0.16135,1.00965,2.07458,1.4024,1.09722,0,8.08389e-05,8.08389e-05,8.08389e-05
31,3878.35,0.84911,1.72712,0.63635,0.94211,0,0.48099,0.35985,0.32543,0.23676,0.45586,0.35542,0.29113,0.15382,1.02027,1.97937,1.43551,1.10877,0,7.95954e-05,7.95954e-05,7.95954e-05
32,3997.24,0.82882,1.69249,0.61635,0.9314,0,0.43958,0.37121,0.34034,0.24009,0.43171,0.35985,0.31095,0.14804,1.04726,2.11853,1.46769,1.12344,0,7.83231e-05,7.83231e-05,7.83231e-05
33,4122.44,0.82904,1.68139,0.60007,0.93309,0,0.51285,0.38258,0.36646,0.26875,0.44386,0.393,0.32915,0.17208,1.0634,2.17346,1.3167,1.11233,0,7.70234e-05,7.70234e-05,7.70234e-05
34,4245.88,0.83239,1.68275,0.60368,0.93147,0,0.46051,0.39394,0.36636,0.27469,0.46013,0.37879,0.33906,0.18629,1.03043,2.0874,1.43988,1.11989,0,7.56976e-05,7.56976e-05,7.56976e-05
35,4364.51,0.81517,1.66354,0.58221,0.92596,0,0.55231,0.36917,0.36552,0.267,0.52993,0.35443,0.33419,0.18278,1.01904,2.07275,1.34298,1.11685,0,7.43468e-05,7.43468e-05,7.43468e-05
36,4483.92,0.80652,1.64331,0.57541,0.92454,0,0.43119,0.4053,0.33286,0.24181,0.40283,0.37561,0.28631,0.16115,0.997,2.18262,1.4089,1.0896,0,7.29725e-05,7.29725e-05,7.29725e-05
37,4608.32,0.80966,1.64285,0.5773,0.92118,0,0.57695,0.35227,0.34904,0.2463,0.56746,0.34848,0.32731,0.17943,1.06778,2.17529,1.43341,1.14938,0,7.15761e-05,7.15761e-05,7.15761e-05
38,4727.16,0.80621,1.63584,0.57269,0.92327,0,0.59538,0.33712,0.34818,0.2501,0.5751,0.31439,0.31202,0.17583,1.07092,2.19543,1.45531,1.15459,0,7.01588e-05,7.01588e-05,7.01588e-05
39,4845.82,0.80283,1.6238,0.5662,0.92413,0,0.60335,0.36876,0.36611,0.26282,0.55959,0.35615,0.33577,0.18576,1.03648,2.13135,1.35391,1.13541,0,6.87222e-05,6.87222e-05,6.87222e-05
40,4971.03,0.78801,1.61849,0.55771,0.91497,0,0.48644,0.39015,0.35348,0.25018,0.46789,0.375,0.3236,0.17145,1.05144,2.07458,1.3571,1.14954,0,6.72675e-05,6.72675e-05,6.72675e-05
41,5095.41,0.79398,1.61971,0.55358,0.91483,0,0.48845,0.39773,0.36846,0.25751,0.47979,0.39128,0.34143,0.18195,1.0837,2.10938,1.41899,1.1459,0,6.57963e-05,6.57963e-05,6.57963e-05
42,5220.69,0.78354,1.59345,0.53793,0.91429,0,0.55938,0.34091,0.36308,0.26537,0.55938,0.34091,0.35976,0.19462,1.05699,2.07458,1.41435,1.15373,0,6.43101e-05,6.43101e-05,6.43101e-05
43,5346.14,0.77616,1.57251,0.53315,0.9119,0,0.64225,0.33333,0.34995,0.26158,0.64225,0.33333,0.34285,0.18775,1.03819,2.13501,1.44594,1.14347,0,6.28101e-05,6.28101e-05,6.28101e-05
44,5471.24,0.78558,1.6057,0.54161,0.91641,0,0.51551,0.37121,0.36564,0.2611,0.51568,0.37508,0.35172,0.18648,1.1017,2.09656,1.38143,1.19158,0,6.12981e-05,6.12981e-05,6.12981e-05
45,5593.69,0.76983,1.59304,0.53145,0.90661,0,0.48468,0.375,0.35036,0.24978,0.48818,0.33333,0.32995,0.17763,1.10997,2.13135,1.47953,1.17353,0,5.97754e-05,5.97754e-05,5.97754e-05
46,5715.18,0.76954,1.58052,0.52468,0.90988,0,0.48083,0.40345,0.36056,0.25935,0.44001,0.36742,0.30534,0.15976,1.05307,2.12219,1.4273,1.16142,0,5.82435e-05,5.82435e-05,5.82435e-05
47,5839.77,0.76349,1.5668,0.52741,0.90832,0,0.54396,0.37048,0.36736,0.26518,0.53238,0.36225,0.32944,0.17475,1.04835,2.03979,1.37814,1.14608,0,5.6704e-05,5.6704e-05,5.6704e-05
48,5964.82,0.75923,1.54293,0.5046,0.90124,0,0.44571,0.4053,0.34583,0.2434,0.42898,0.36364,0.30921,0.16172,1.11483,2.19177,1.55914,1.20333,0,5.51584e-05,5.51584e-05,5.51584e-05
49,6089.2,0.74774,1.54823,0.51032,0.90418,0,0.50067,0.38361,0.34875,0.26329,0.57455,0.33712,0.3241,0.17417,1.0256,2.14417,1.43246,1.12789,0,5.36081e-05,5.36081e-05,5.36081e-05
